profile_id,status,content_priority,blocker
PC00,draft,representative,Awaiting selected evidence and recorded content review
P01,draft,representative,Awaiting selected evidence and recorded content review
P02,draft,coverage_shell,Awaiting selected evidence and recorded content review
P03,draft,coverage_shell,Awaiting selected evidence and recorded content review
P04,draft,coverage_shell,Awaiting selected evidence and recorded content review
P05,draft,coverage_shell,Awaiting selected evidence and recorded content review
P06,draft,coverage_shell,Awaiting selected evidence and recorded content review
P07,draft,coverage_shell,Awaiting selected evidence and recorded content review
P08,draft,coverage_shell,Awaiting selected evidence and recorded content review
P09,draft,representative,Awaiting selected evidence and recorded content review
P10,draft,representative,Awaiting selected evidence and recorded content review
P11,draft,coverage_shell,Awaiting selected evidence and recorded content review
P12,draft,coverage_shell,Awaiting selected evidence and recorded content review
P13,draft,coverage_shell,Awaiting selected evidence and recorded content review
P14,draft,coverage_shell,Awaiting selected evidence and recorded content review
P15,draft,coverage_shell,Awaiting selected evidence and recorded content review
P16,draft,coverage_shell,Awaiting selected evidence and recorded content review
P17,draft,coverage_shell,Awaiting selected evidence and recorded content review
P18,draft,coverage_shell,Awaiting selected evidence and recorded content review
P19,draft,coverage_shell,Awaiting selected evidence and recorded content review
P20,draft,coverage_shell,Awaiting selected evidence and recorded content review
P21,draft,coverage_shell,Awaiting selected evidence and recorded content review
P22,draft,coverage_shell,Awaiting selected evidence and recorded content review
P23,draft,coverage_shell,Awaiting selected evidence and recorded content review
P24,draft,representative,Awaiting selected evidence and recorded content review
P25,draft,coverage_shell,Awaiting selected evidence and recorded content review
P26,draft,coverage_shell,Awaiting selected evidence and recorded content review
P27,draft,coverage_shell,Awaiting selected evidence and recorded content review
P28,draft,coverage_shell,Awaiting selected evidence and recorded content review
P29,draft,coverage_shell,Awaiting selected evidence and recorded content review
P30,draft,coverage_shell,Awaiting selected evidence and recorded content review
P31,draft,coverage_shell,Awaiting selected evidence and recorded content review
P32,draft,coverage_shell,Awaiting selected evidence and recorded content review
P33,draft,coverage_shell,Awaiting selected evidence and recorded content review
P34,draft,coverage_shell,Awaiting selected evidence and recorded content review
P35,draft,coverage_shell,Awaiting selected evidence and recorded content review
P36,draft,representative,Awaiting selected evidence and recorded content review
P37,draft,coverage_shell,Awaiting selected evidence and recorded content review
P38,draft,coverage_shell,Awaiting selected evidence and recorded content review
P39,draft,coverage_shell,Awaiting selected evidence and recorded content review
P40,draft,coverage_shell,Awaiting selected evidence and recorded content review
P41,draft,coverage_shell,Awaiting selected evidence and recorded content review
P42,draft,coverage_shell,Awaiting selected evidence and recorded content review
PP01,draft,representative,Awaiting selected evidence and recorded content review
PP02,draft,coverage_shell,Awaiting selected evidence and recorded content review
PP03,draft,coverage_shell,Awaiting selected evidence and recorded content review
PP04,draft,coverage_shell,Awaiting selected evidence and recorded content review
PP05,draft,coverage_shell,Awaiting selected evidence and recorded content review
PP06,draft,representative,Awaiting selected evidence and recorded content review
PP07,draft,coverage_shell,Awaiting selected evidence and recorded content review
PP08,draft,coverage_shell,Awaiting selected evidence and recorded content review
PP09,draft,coverage_shell,Awaiting selected evidence and recorded content review
PP10,draft,coverage_shell,Awaiting selected evidence and recorded content review
PP11,draft,coverage_shell,Awaiting selected evidence and recorded content review
PP12,draft,representative,Awaiting selected evidence and recorded content review
PPD0,draft,day_overlay,Awaiting selected evidence and recorded content review
PPD1,draft,day_overlay,Awaiting selected evidence and recorded content review
PPD2,draft,day_overlay,Awaiting selected evidence and recorded content review
PPD3,draft,day_overlay,Awaiting selected evidence and recorded content review
PPD4,draft,day_overlay,Awaiting selected evidence and recorded content review
PPD5,draft,day_overlay,Awaiting selected evidence and recorded content review
PPD6,draft,day_overlay,Awaiting selected evidence and recorded content review
PPD7,draft,day_overlay,Awaiting selected evidence and recorded content review
