source_id,title,publisher,canonical_url,jurisdiction,document_type,topics,evidence_lane,status,publication_date,version_or_last_update,last_checked_at,reuse_status,allowed_use,license_or_reuse_note,prohibited_inferences,review,content_checksum,supersedes_source_id,journey_stages,selected_sections,snapshot_path
MEDLINEPLUS-01,MedlinePlus fetal development,MedlinePlus,https://medlineplus.gov/ency/article/002398.htm,"[""US""]",html,"[""journey""]",weekly_profile,excluded,,Article review date 2025-08-18,2026-09-09,restricted,[],A.D.A.M./Ebix article footer requires express written consent for AI retrieval and dataset reuse; exclude from ingestion pending permission or replacement. See docs/SOURCE-VERIFICATION.md.,"Candidate reference only; no individual diagnosis, treatment change, inferred clearance or unlabeled foreign care schedule.",null,,,[],[],
NHS-01,NHS week-by-week guide,NHS,https://www.nhs.uk/best-start-in-life/pregnancy/week-by-week-guide-to-pregnancy/,"[""UK""]",index,"[""journey""]",weekly_profile,excluded,,,2026-09-10,restricted,[],Excluded from ingestion: Best Start in Life is outside standard NHS OGL; separate terms do not establish dataset reuse permission. https://www.nhs.uk/best-start-in-life/terms-and-conditions/,"Candidate reference only; no individual diagnosis, treatment change, inferred clearance or unlabeled foreign care schedule.",null,,,[],[],
PBB-01,"Pregnancy, Birth and Baby week-by-week index","Pregnancy, Birth and Baby",https://www.pregnancybirthbaby.org.au/pregnancy/pregnancy-stages/pregnancy-week-by-week,"[""AU""]",index,"[""journey""]",weekly_profile,excluded,,,2026-09-10,restricted,[],Reference index only; reuse restricted by Healthdirect terms. No content copied. https://www.pregnancybirthbaby.org.au/terms-of-use,"Candidate reference only; no individual diagnosis, treatment change, inferred clearance or unlabeled foreign care schedule.",null,,,[],[],
NHS-02,NHS week 41,NHS,https://www.nhs.uk/best-start-in-life/pregnancy/week-by-week-guide-to-pregnancy/3rd-trimester/week-41/,"[""UK""]",html,"[""journey""]",weekly_profile,excluded,,,2026-09-10,restricted,[],Excluded from ingestion: Best Start in Life is outside standard NHS OGL; separate terms do not establish dataset reuse permission. https://www.nhs.uk/best-start-in-life/terms-and-conditions/,"Candidate reference only; no individual diagnosis, treatment change, inferred clearance or unlabeled foreign care schedule.",null,,,[],[],
WHO-01,WHO recommendations at or beyond term,World Health Organization,https://www.who.int/publications/i/item/9789240052796,"[""GLOBAL""]",html,"[""journey"", ""preparation""]",guideline,candidate,,,2026-09-10,unverified,[],Official landing/reference page reachable. Exact document sections and document-level licence still pending; no landing-page text treated as guideline evidence. https://www.who.int/about/policies/publishing/copyright,"Candidate reference only; no individual diagnosis, treatment change, inferred clearance or unlabeled foreign care schedule.",null,,,[],[],
WHO-02,"WHO maternal-health recommendations, edition 2",World Health Organization,https://www.who.int/publications/b/59332,"[""GLOBAL""]",html,"[""journey"", ""preparation""]",guideline,candidate,,,2026-09-10,unverified,[],Official landing/reference page reachable. Exact document sections and document-level licence still pending; no landing-page text treated as guideline evidence. https://www.who.int/about/policies/publishing/copyright,"Candidate reference only; no individual diagnosis, treatment change, inferred clearance or unlabeled foreign care schedule.",null,,,[],[],
WHO-03,WHO antenatal-care recommendations,World Health Organization,https://www.who.int/publications/i/item/9789241549912/,"[""GLOBAL""]",html,"[""journey"", ""preparation""]",guideline,candidate,,,2026-09-10,unverified,[],Official landing/reference page reachable. Exact document sections and document-level licence still pending; no landing-page text treated as guideline evidence. https://www.who.int/about/policies/publishing/copyright,"Candidate reference only; no individual diagnosis, treatment change, inferred clearance or unlabeled foreign care schedule.",null,,,[],[],
WHO-04,WHO Antenatal Care Digital Adaptation Kit,World Health Organization,https://iris.who.int/bitstream/handle/10665/339745/9789240020306-eng.pdf,"[""GLOBAL""]",pdf,"[""journey"", ""preparation""]",guideline,candidate,,,2026-09-10,unverified,[],IRIS PDF returned 403. Official publication landing page verified as recovery route; exact PDF licence and sections still pending. WHO general CC BY-NC-SA route is noncommercial and must be checked per document.,"Candidate reference only; no individual diagnosis, treatment change, inferred clearance or unlabeled foreign care schedule.",null,,,[],[],
NIN-01,ICMR-NIN Dietary Guidelines for Indians 2024,ICMR-NIN,https://www.nin.res.in/dietaryguidelines/pdfjs/locale/DGI07052024P.pdf,"[""IN""]",pdf,"[""nutrition""]",guideline,candidate,,,2026-09-10,unverified,[],Original PDF returned 404. Official search located DGI_2024.pdf; direct fetch also failed. Exact file and reuse terms remain unverified.,"Candidate reference only; no individual diagnosis, treatment change, inferred clearance or unlabeled foreign care schedule.",null,,,[],[],
WHO-05,WHO physical-activity guidance,World Health Organization,https://iris.who.int/bitstream/handle/10665/336656/9789240015128-eng.pdf,"[""GLOBAL""]",pdf,"[""movement""]",guideline,candidate,,,2026-09-10,unverified,[],IRIS PDF returned 403. Official publication landing page verified as recovery route; exact PDF licence and sections still pending. WHO general CC BY-NC-SA route is noncommercial and must be checked per document.,"Candidate reference only; no individual diagnosis, treatment change, inferred clearance or unlabeled foreign care schedule.",null,,,[],[],
WHO-06,WHO perinatal mental-health guide,World Health Organization,https://www.who.int/publications/i/item/9789240057142,"[""GLOBAL""]",html,"[""wellbeing""]",guideline,candidate,,,2026-09-10,unverified,[],Official landing/reference page reachable. Exact document sections and document-level licence still pending; no landing-page text treated as guideline evidence. https://www.who.int/about/policies/publishing/copyright,"Candidate reference only; no individual diagnosis, treatment change, inferred clearance or unlabeled foreign care schedule.",null,,,[],[],
WHO-07,WHO postnatal-care guideline,World Health Organization,https://www.who.int/publications/i/item/9789240045989,"[""GLOBAL""]",html,"[""journey"", ""preparation""]",guideline,candidate,,,2026-09-10,unverified,[],Official landing/reference page reachable. Exact document sections and document-level licence still pending; no landing-page text treated as guideline evidence. https://www.who.int/about/policies/publishing/copyright,"Candidate reference only; no individual diagnosis, treatment change, inferred clearance or unlabeled foreign care schedule.",null,,,[],[],
WHO-08,WHO Postnatal Care Digital Adaptation Kit,World Health Organization,https://www.who.int/publications/i/item/9789240090347,"[""GLOBAL""]",html,"[""journey"", ""preparation""]",guideline,candidate,,,2026-09-10,unverified,[],Official landing/reference page reachable. Exact document sections and document-level licence still pending; no landing-page text treated as guideline evidence. https://www.who.int/about/policies/publishing/copyright,"Candidate reference only; no individual diagnosis, treatment change, inferred clearance or unlabeled foreign care schedule.",null,,,[],[],
WHO-09,WHO maternal intervention timing,World Health Organization,https://www.who.int/teams/maternal-newborn-child-adolescent-health-and-ageing/handbooks/programme-manager-s-handbook-mncah/recommendations-on-interventions-along-life-course/maternal,"[""GLOBAL""]",html,"[""journey"", ""preparation""]",guideline,candidate,,,2026-09-10,unverified,[],Official landing/reference page reachable. Exact document sections and document-level licence still pending; no landing-page text treated as guideline evidence. https://www.who.int/about/policies/publishing/copyright,"Candidate reference only; no individual diagnosis, treatment change, inferred clearance or unlabeled foreign care schedule.",null,,,[],[],
NHM-01,National Health Mission maternal-health guidelines,National Health Mission,https://www.nhm.gov.in/index1.php?lang=1&level=3&lid=377&sublinkid=839,"[""IN""]",index,"[""preparation""]",guideline,candidate,,,2026-09-10,unverified,[],Official index reachable; identified postnatal guidance and maternal guidance booklets. Exact downloads and their permissions remain pending.,"Candidate reference only; no individual diagnosis, treatment change, inferred clearance or unlabeled foreign care schedule.",null,,,[],[],
CDC-01,CDC urgent maternal warning signs,CDC,https://www.cdc.gov/hearher/maternal-warning-signs/index.html,"[""US""]",html,"[""symptoms""]",safety,candidate,,,2026-09-10,unverified,[],Official warning-sign page and agency reuse policy checked. Keep as safety-design candidate pending local policy and source-specific review; no safety rule implemented. https://www.cdc.gov/other/agencymaterials.html,"Candidate reference only; no individual diagnosis, treatment change, inferred clearance or unlabeled foreign care schedule.",null,,,[],[],
